danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.621,0.821,6,-3.662,0,0.0364,0.00548,0.000578,0.142,0.646,120.062,audio_features,46WaBBaEHzgbN88Ew0nh50,spotify:track:46WaBBaEHzgbN88Ew0nh50,https://api.spotify.com/v1/tracks/46WaBBaEHzgbN88Ew0nh50,https://api.spotify.com/v1/audio-analysis/46WaBBaEHzgbN88Ew0nh50,199133,4,GFRIEND,71,MAGO,2020-11-09,回:Walpurgis Night
0.632,0.921,2,-1.574,1,0.037,0.00291,4.9e-06,0.0884,0.95,120.005,audio_features,4Uzm5cTv6oBWSGiUSqziJI,spotify:track:4Uzm5cTv6oBWSGiUSqziJI,https://api.spotify.com/v1/tracks/4Uzm5cTv6oBWSGiUSqziJI,https://api.spotify.com/v1/audio-analysis/4Uzm5cTv6oBWSGiUSqziJI,188013,4,GFRIEND,41,Love Spell,2020-11-09,回:Walpurgis Night
0.673,0.91,6,-1.56,0,0.0684,0.0916,0.0,0.316,0.776,115.946,audio_features,6fenoNqjmMJbrXKfoIuXr2,spotify:track:6fenoNqjmMJbrXKfoIuXr2,https://api.spotify.com/v1/tracks/6fenoNqjmMJbrXKfoIuXr2,https://api.spotify.com/v1/audio-analysis/6fenoNqjmMJbrXKfoIuXr2,208773,4,GFRIEND,45,Three Of Cups,2020-11-09,回:Walpurgis Night
0.758,0.9,0,-1.332,1,0.0647,0.178,0.0,0.245,0.604,125.042,audio_features,3BlAKTx6kbfjqWBoqaaY5u,spotify:track:3BlAKTx6kbfjqWBoqaaY5u,https://api.spotify.com/v1/tracks/3BlAKTx6kbfjqWBoqaaY5u,https://api.spotify.com/v1/audio-analysis/3BlAKTx6kbfjqWBoqaaY5u,210347,4,GFRIEND,41,GRWM,2020-11-09,回:Walpurgis Night
0.681,0.716,2,-3.348,1,0.0415,0.281,0.0,0.163,0.638,96.062,audio_features,26CA4JrYMqteeAV5nqAuDC,spotify:track:26CA4JrYMqteeAV5nqAuDC,https://api.spotify.com/v1/tracks/26CA4JrYMqteeAV5nqAuDC,https://api.spotify.com/v1/audio-analysis/26CA4JrYMqteeAV5nqAuDC,193680,4,GFRIEND,41,Secret Diary,2020-11-09,回:Walpurgis Night
0.689,0.843,5,-2.623,0,0.0383,0.0137,1.59e-05,0.11,0.609,94.052,audio_features,7sikv3XMiEIDESAS7PEkBB,spotify:track:7sikv3XMiEIDESAS7PEkBB,https://api.spotify.com/v1/tracks/7sikv3XMiEIDESAS7PEkBB,https://api.spotify.com/v1/audio-analysis/7sikv3XMiEIDESAS7PEkBB,181147,4,GFRIEND,47,Better Me,2020-11-09,回:Walpurgis Night
0.613,0.649,5,-3.899,0,0.0467,0.655,0.0,0.124,0.394,88.956,audio_features,7azmn7M9mRnHzyqxzjMsNe,spotify:track:7azmn7M9mRnHzyqxzjMsNe,https://api.spotify.com/v1/tracks/7azmn7M9mRnHzyqxzjMsNe,https://api.spotify.com/v1/audio-analysis/7azmn7M9mRnHzyqxzjMsNe,207293,4,GFRIEND,45,Night Drive,2020-11-09,回:Walpurgis Night
0.711,0.939,9,-4.725,1,0.159,0.0428,0.0,0.126,0.331,119.996,audio_features,1j6VvjYG0YrkMTcyCBHj8F,spotify:track:1j6VvjYG0YrkMTcyCBHj8F,https://api.spotify.com/v1/tracks/1j6VvjYG0YrkMTcyCBHj8F,https://api.spotify.com/v1/audio-analysis/1j6VvjYG0YrkMTcyCBHj8F,206588,4,GFRIEND,51,Apple,2020-11-09,回:Walpurgis Night
0.376,0.834,1,-1.882,1,0.0569,0.179,0.0,0.12,0.484,169.9,audio_features,0LZK17dJosyY7zftjUY4mK,spotify:track:0LZK17dJosyY7zftjUY4mK,https://api.spotify.com/v1/tracks/0LZK17dJosyY7zftjUY4mK,https://api.spotify.com/v1/audio-analysis/0LZK17dJosyY7zftjUY4mK,202427,4,GFRIEND,43,Crossroads,2020-11-09,回:Walpurgis Night
0.623,0.898,2,-2.441,0,0.0524,0.219,0.0,0.0834,0.858,124.961,audio_features,0Z5IHhsYyaAFJ8JeULl4PW,spotify:track:0Z5IHhsYyaAFJ8JeULl4PW,https://api.spotify.com/v1/tracks/0Z5IHhsYyaAFJ8JeULl4PW,https://api.spotify.com/v1/audio-analysis/0Z5IHhsYyaAFJ8JeULl4PW,201120,4,GFRIEND,41,Labyrinth,2020-11-09,回:Walpurgis Night
0.598,0.932,6,-2.47,1,0.0812,0.0546,1.35e-06,0.188,0.36,131.987,audio_features,2cSPQRjVCkmPDiVfKSOgbj,spotify:track:2cSPQRjVCkmPDiVfKSOgbj,https://api.spotify.com/v1/tracks/2cSPQRjVCkmPDiVfKSOgbj,https://api.spotify.com/v1/audio-analysis/2cSPQRjVCkmPDiVfKSOgbj,228280,4,GFRIEND,42,Wheel of the year,2020-11-09,回:Walpurgis Night
0.453,0.849,6,-1.337,0,0.125,0.428,0.0,0.1,0.638,173.917,audio_features,1e7eOq89QU6vGYCJp9yW2L,spotify:track:1e7eOq89QU6vGYCJp9yW2L,https://api.spotify.com/v1/tracks/1e7eOq89QU6vGYCJp9yW2L,https://api.spotify.com/v1/audio-analysis/1e7eOq89QU6vGYCJp9yW2L,216488,4,GFRIEND,55,Sunrise,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.637,0.859,4,-2.871,0,0.0348,0.00777,0.0,0.133,0.351,101.976,audio_features,1CSLSt0dP5CJqADXsJbVcx,spotify:track:1CSLSt0dP5CJqADXsJbVcx,https://api.spotify.com/v1/tracks/1CSLSt0dP5CJqADXsJbVcx,https://api.spotify.com/v1/audio-analysis/1CSLSt0dP5CJqADXsJbVcx,213460,4,GFRIEND,44,You are not alone,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.741,0.754,4,-3.945,0,0.037,0.172,0.0,0.0754,0.506,110.031,audio_features,6n8YodbIsmMTqL151At1xy,spotify:track:6n8YodbIsmMTqL151At1xy,https://api.spotify.com/v1/tracks/6n8YodbIsmMTqL151At1xy,https://api.spotify.com/v1/audio-analysis/6n8YodbIsmMTqL151At1xy,195205,4,GFRIEND,38,L.U.V.,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.768,0.669,0,-3.663,1,0.0358,0.136,0.0,0.41,0.833,122.056,audio_features,0ctEujNTTaXJCAuEPkV0Vg,spotify:track:0ctEujNTTaXJCAuEPkV0Vg,https://api.spotify.com/v1/tracks/0ctEujNTTaXJCAuEPkV0Vg,https://api.spotify.com/v1/audio-analysis/0ctEujNTTaXJCAuEPkV0Vg,223291,4,GFRIEND,33,GLOW,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.713,0.844,3,-3.282,0,0.0391,0.26,0.0,0.0662,0.844,116.036,audio_features,44tgxtbey8hMvFpIPDlygJ,spotify:track:44tgxtbey8hMvFpIPDlygJ,https://api.spotify.com/v1/tracks/44tgxtbey8hMvFpIPDlygJ,https://api.spotify.com/v1/audio-analysis/44tgxtbey8hMvFpIPDlygJ,205875,4,GFRIEND,32,Our Secret,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.665,0.873,10,-2.754,1,0.0566,0.146,0.0,0.104,0.568,105.991,audio_features,4qlVNqn3XGPefy6mlNhqeB,spotify:track:4qlVNqn3XGPefy6mlNhqeB,https://api.spotify.com/v1/tracks/4qlVNqn3XGPefy6mlNhqeB,https://api.spotify.com/v1/audio-analysis/4qlVNqn3XGPefy6mlNhqeB,190405,4,GFRIEND,42,Only 1,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.778,0.779,6,-2.838,1,0.0379,0.255,0.0,0.0985,0.665,114.999,audio_features,0Yr0nBbQt1JoadJz7lwyfA,spotify:track:0Yr0nBbQt1JoadJz7lwyfA,https://api.spotify.com/v1/tracks/0Yr0nBbQt1JoadJz7lwyfA,https://api.spotify.com/v1/audio-analysis/0Yr0nBbQt1JoadJz7lwyfA,219984,4,GFRIEND,33,Truly Love,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.733,0.861,6,-3.318,0,0.0746,0.16,0.0,0.618,0.595,123.862,audio_features,04O0KN1UbwexkBdc7KNSIb,spotify:track:04O0KN1UbwexkBdc7KNSIb,https://api.spotify.com/v1/tracks/04O0KN1UbwexkBdc7KNSIb,https://api.spotify.com/v1/audio-analysis/04O0KN1UbwexkBdc7KNSIb,210643,4,GFRIEND,31,Show Up,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.746,0.797,10,-4.859,0,0.0841,0.717,0.0,0.229,0.805,104.069,audio_features,1Av4WrFAI8xcP2aTNzzCRH,spotify:track:1Av4WrFAI8xcP2aTNzzCRH,https://api.spotify.com/v1/tracks/1Av4WrFAI8xcP2aTNzzCRH,https://api.spotify.com/v1/audio-analysis/1Av4WrFAI8xcP2aTNzzCRH,241454,4,GFRIEND,34,It's You,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.568,0.662,4,-4.426,1,0.0257,0.248,0.0,0.114,0.5,86.005,audio_features,6o0Eufi5ooeVGUODDLyvLb,spotify:track:6o0Eufi5ooeVGUODDLyvLb,https://api.spotify.com/v1/tracks/6o0Eufi5ooeVGUODDLyvLb,https://api.spotify.com/v1/audio-analysis/6o0Eufi5ooeVGUODDLyvLb,191549,4,GFRIEND,37,A Starry Sky,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.704,0.896,11,-2.758,1,0.0738,0.0635,0.0,0.0529,0.682,108.957,audio_features,6dndWJT5Vuq2NYj9Atj5eh,spotify:track:6dndWJT5Vuq2NYj9Atj5eh,https://api.spotify.com/v1/tracks/6dndWJT5Vuq2NYj9Atj5eh,https://api.spotify.com/v1/audio-analysis/6dndWJT5Vuq2NYj9Atj5eh,201912,4,GFRIEND,32,Love Oh Love,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.522,0.881,8,-2.156,0,0.0474,0.203,0.0,0.14,0.585,136.94,audio_features,4PznbgDjd758n6d8EzJWJ0,spotify:track:4PznbgDjd758n6d8EzJWJ0,https://api.spotify.com/v1/tracks/4PznbgDjd758n6d8EzJWJ0,https://api.spotify.com/v1/audio-analysis/4PznbgDjd758n6d8EzJWJ0,249178,4,GFRIEND,43,Memoria (Korean Ver.),2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.556,0.732,6,-5.685,0,0.0715,0.00217,0.522,0.0974,0.586,173.979,audio_features,6OtsfvRjGxBzompPrKZrQX,spotify:track:6OtsfvRjGxBzompPrKZrQX,https://api.spotify.com/v1/tracks/6OtsfvRjGxBzompPrKZrQX,https://api.spotify.com/v1/audio-analysis/6OtsfvRjGxBzompPrKZrQX,216488,4,GFRIEND,27,Sunrise - Instrumental,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.6,0.867,6,-5.647,1,0.0263,0.174,0.415,0.117,0.501,105.972,audio_features,0ZLHBXIaP9kPbHkyTtM6of,spotify:track:0ZLHBXIaP9kPbHkyTtM6of,https://api.spotify.com/v1/tracks/0ZLHBXIaP9kPbHkyTtM6of,https://api.spotify.com/v1/audio-analysis/0ZLHBXIaP9kPbHkyTtM6of,72207,4,GFRIEND,23,Intro (Belief),2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.711,0.928,8,-1.666,0,0.0484,0.126,0.0,0.335,0.577,114.012,audio_features,5ZO6NQ6a9Ass5Ym0McTOwl,spotify:track:5ZO6NQ6a9Ass5Ym0McTOwl,https://api.spotify.com/v1/tracks/5ZO6NQ6a9Ass5Ym0McTOwl,https://api.spotify.com/v1/audio-analysis/5ZO6NQ6a9Ass5Ym0McTOwl,211972,4,GFRIEND,36,Love Whisper,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.534,0.853,6,-3.009,1,0.0342,0.0341,0.0,0.289,0.39,104.338,audio_features,5lKCWT7RgnodM91X8g7Fa6,spotify:track:5lKCWT7RgnodM91X8g7Fa6,https://api.spotify.com/v1/tracks/5lKCWT7RgnodM91X8g7Fa6,https://api.spotify.com/v1/audio-analysis/5lKCWT7RgnodM91X8g7Fa6,200237,4,GFRIEND,50,Summer Rain,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.573,0.933,4,-2.057,1,0.045,0.0632,0.0,0.155,0.53,119.968,audio_features,7nUaEmU2Cc0MiwFQEWR4Ht,spotify:track:7nUaEmU2Cc0MiwFQEWR4Ht,https://api.spotify.com/v1/tracks/7nUaEmU2Cc0MiwFQEWR4Ht,https://api.spotify.com/v1/audio-analysis/7nUaEmU2Cc0MiwFQEWR4Ht,232445,4,GFRIEND,43,Rainbow,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.633,0.916,5,-2.957,1,0.0546,0.0117,0.0,0.378,0.582,112.941,audio_features,52DK1PIc4hgXbypiWV0ylW,spotify:track:52DK1PIc4hgXbypiWV0ylW,https://api.spotify.com/v1/tracks/52DK1PIc4hgXbypiWV0ylW,https://api.spotify.com/v1/audio-analysis/52DK1PIc4hgXbypiWV0ylW,197902,4,GFRIEND,30,Ave Maria,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
0.684,0.898,6,-1.242,0,0.0402,0.208,0.0,0.0403,0.487,122.973,audio_features,5jla5wVAYsBNGk7XJNvl2U,spotify:track:5jla5wVAYsBNGk7XJNvl2U,https://api.spotify.com/v1/tracks/5jla5wVAYsBNGk7XJNvl2U,https://api.spotify.com/v1/audio-analysis/5jla5wVAYsBNGk7XJNvl2U,214058,4,GFRIEND,29,One-Half,2017-09-13,GFRIEND The 5th Mini Album Repackage <RAINBOW>
