danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.694,0.726,0,-7.297,0,0.0322,0.12,0.00258,0.215,0.451,105.968,audio_features,6ppDvLfqpNsoi1Gv10hr9F,spotify:track:6ppDvLfqpNsoi1Gv10hr9F,https://api.spotify.com/v1/tracks/6ppDvLfqpNsoi1Gv10hr9F,https://api.spotify.com/v1/audio-analysis/6ppDvLfqpNsoi1Gv10hr9F,226981,4,DROELOE,0,Sunburn,2017-08-22,A Moment In Time
0.608,0.424,5,-8.393,0,0.0267,0.214,0.683,0.14,0.135,90.019,audio_features,1akuWqwrCClTLLPLB0a3Sd,spotify:track:1akuWqwrCClTLLPLB0a3Sd,https://api.spotify.com/v1/tracks/1akuWqwrCClTLLPLB0a3Sd,https://api.spotify.com/v1/audio-analysis/1akuWqwrCClTLLPLB0a3Sd,141333,4,Ark Patrol,18,The Meaning Doesn't Matter,2017-08-14,Deluxe EP
0.656,0.767,11,-3.038,1,0.0396,0.25,0.0,0.114,0.871,163.834,audio_features,5MMLS3xm12D7N26xlfFApr,spotify:track:5MMLS3xm12D7N26xlfFApr,https://api.spotify.com/v1/tracks/5MMLS3xm12D7N26xlfFApr,https://api.spotify.com/v1/audio-analysis/5MMLS3xm12D7N26xlfFApr,147747,4,Bruno Mars,69,Runaway Baby,2010-10-05,Doo-Wops & Hooligans
0.88,0.788,7,-5.784,0,0.0989,0.0365,0.883,0.0566,0.528,125.022,audio_features,7AVtIBStymSgbUeUZjHsUT,spotify:track:7AVtIBStymSgbUeUZjHsUT,https://api.spotify.com/v1/tracks/7AVtIBStymSgbUeUZjHsUT,https://api.spotify.com/v1/audio-analysis/7AVtIBStymSgbUeUZjHsUT,209280,4,soupandreas,0,Sprite,2017-09-25,Sprite
0.864,0.268,5,-7.132,0,0.263,0.387,0.9,0.134,0.205,84.072,audio_features,3wtOgic9u3xh2jP5sFFZ7i,spotify:track:3wtOgic9u3xh2jP5sFFZ7i,https://api.spotify.com/v1/tracks/3wtOgic9u3xh2jP5sFFZ7i,https://api.spotify.com/v1/audio-analysis/3wtOgic9u3xh2jP5sFFZ7i,271429,4,Ark Patrol,25,Ambition,2014-04-21,Ambition EP
0.685,0.499,5,-7.232,0,0.402,0.124,1.72e-05,0.157,0.678,149.851,audio_features,01okpq1Ab6UKCSPA4Kbor8,spotify:track:01okpq1Ab6UKCSPA4Kbor8,https://api.spotify.com/v1/tracks/01okpq1Ab6UKCSPA4Kbor8,https://api.spotify.com/v1/audio-analysis/01okpq1Ab6UKCSPA4Kbor8,235200,4,smle,0,Leave It All (feat. Calica),2017-03-31,Leave It All (feat. Calica)
0.696,0.426,9,-8.452,0,0.0273,0.917,0.827,0.0942,0.626,95.03,audio_features,1HHv4KeSjn5VFIPQ4hd39c,spotify:track:1HHv4KeSjn5VFIPQ4hd39c,https://api.spotify.com/v1/tracks/1HHv4KeSjn5VFIPQ4hd39c,https://api.spotify.com/v1/audio-analysis/1HHv4KeSjn5VFIPQ4hd39c,185899,4,Ark Patrol,29,Soirée,2016-05-05,Soirée
0.472,0.721,0,-3.782,0,0.0403,0.0628,4.15e-05,0.104,0.181,159.797,audio_features,7GoQWKoZbTH0bs5gSBihYF,spotify:track:7GoQWKoZbTH0bs5gSBihYF,https://api.spotify.com/v1/tracks/7GoQWKoZbTH0bs5gSBihYF,https://api.spotify.com/v1/audio-analysis/7GoQWKoZbTH0bs5gSBihYF,231125,4,INTERCOM,0,Decoy World (feat. Park Avenue),2017-09-04,Decoy World (feat. Park Avenue)
0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000,4,Kendrick Lamar,81,HUMBLE.,2017-04-14,DAMN.
0.311,0.844,0,-4.227,0,0.0639,0.0524,2.67e-05,0.0787,0.188,159.937,audio_features,72EL3P8wE9306gyZR31IMn,spotify:track:72EL3P8wE9306gyZR31IMn,https://api.spotify.com/v1/tracks/72EL3P8wE9306gyZR31IMn,https://api.spotify.com/v1/audio-analysis/72EL3P8wE9306gyZR31IMn,250500,4,ILLENIUM,0,Sleepwalker (feat. Joni Fatora),2016-02-15,Ashes
0.691,0.186,10,-13.672,0,0.0487,0.686,0.934,0.0762,0.548,86.383,audio_features,7qrBYrivpvfXUPBMmqh3dA,spotify:track:7qrBYrivpvfXUPBMmqh3dA,https://api.spotify.com/v1/tracks/7qrBYrivpvfXUPBMmqh3dA,https://api.spotify.com/v1/audio-analysis/7qrBYrivpvfXUPBMmqh3dA,136914,4,The Deli,68,5:32pm,2016-10-17,Vibes 2
0.479,0.686,8,-4.952,0,0.0709,0.1,0.0242,0.103,0.563,90.32,audio_features,0nkxh7Zpyu3JRWmOjvitEW,spotify:track:0nkxh7Zpyu3JRWmOjvitEW,https://api.spotify.com/v1/tracks/0nkxh7Zpyu3JRWmOjvitEW,https://api.spotify.com/v1/audio-analysis/0nkxh7Zpyu3JRWmOjvitEW,354667,4,Ark Patrol,42,At All,2015-11-20,Primo
0.786,0.463,11,-10.015,0,0.314,0.0271,0.0,0.185,0.451,104.959,audio_features,1Ba0ucfKPaRzS3AKvX3X3r,spotify:track:1Ba0ucfKPaRzS3AKvX3X3r,https://api.spotify.com/v1/tracks/1Ba0ucfKPaRzS3AKvX3X3r,https://api.spotify.com/v1/audio-analysis/1Ba0ucfKPaRzS3AKvX3X3r,208067,4,Cosmo's Midnight,42,History,2017-01-12,History
0.66,0.681,2,-6.834,0,0.0472,0.0344,0.409,0.308,0.479,128.024,audio_features,6wI3P4Kodcz9prgWZLpe0u,spotify:track:6wI3P4Kodcz9prgWZLpe0u,https://api.spotify.com/v1/tracks/6wI3P4Kodcz9prgWZLpe0u,https://api.spotify.com/v1/audio-analysis/6wI3P4Kodcz9prgWZLpe0u,234413,4,smle,24,And Laugh,2015-09-08,Reasons To
0.522,0.752,7,-5.62,0,0.0556,0.0494,5.25e-06,0.111,0.0385,173.956,audio_features,73inMsqLjdUDn53tg2HkZM,spotify:track:73inMsqLjdUDn53tg2HkZM,https://api.spotify.com/v1/tracks/73inMsqLjdUDn53tg2HkZM,https://api.spotify.com/v1/audio-analysis/73inMsqLjdUDn53tg2HkZM,314483,4,JayKode,0,Know Better (feat. Mister Blonde),2016-12-08,Know Better (feat. Mister Blonde)
0.539,0.681,10,-6.476,0,0.0324,0.00437,0.727,0.105,0.123,98.043,audio_features,4mVuSS9uHM54WmaMR0duKX,spotify:track:4mVuSS9uHM54WmaMR0duKX,https://api.spotify.com/v1/tracks/4mVuSS9uHM54WmaMR0duKX,https://api.spotify.com/v1/audio-analysis/4mVuSS9uHM54WmaMR0duKX,215816,4,Ark Patrol,48,Hex,2016-03-10,Hex EP
0.749,0.871,11,-4.01,0,0.056,0.141,0.0,0.195,0.465,124.013,audio_features,3wrpSepPBg9Ume2bA7CQVj,spotify:track:3wrpSepPBg9Ume2bA7CQVj,https://api.spotify.com/v1/tracks/3wrpSepPBg9Ume2bA7CQVj,https://api.spotify.com/v1/audio-analysis/3wrpSepPBg9Ume2bA7CQVj,168397,4,Paul & Friends,23,This Time (Ft. Elsa),2017-04-21,This Time (Ft. Elsa)
0.712,0.727,4,-5.22,0,0.0362,0.263,0.000257,0.13,0.492,145.014,audio_features,7ppz0b5ecGXM8xHg5yGDhK,spotify:track:7ppz0b5ecGXM8xHg5yGDhK,https://api.spotify.com/v1/tracks/7ppz0b5ecGXM8xHg5yGDhK,https://api.spotify.com/v1/audio-analysis/7ppz0b5ecGXM8xHg5yGDhK,178767,4,Slushii,49,So Long (feat. Madi),2016-07-29,So Long (feat. Madi)
0.747,0.491,6,-6.043,1,0.0639,0.197,1.77e-05,0.0837,0.827,145.034,audio_features,7uSZPbd8DxdkmSauCKnITY,spotify:track:7uSZPbd8DxdkmSauCKnITY,https://api.spotify.com/v1/tracks/7uSZPbd8DxdkmSauCKnITY,https://api.spotify.com/v1/audio-analysis/7uSZPbd8DxdkmSauCKnITY,266483,4,San Holo,59,We Rise,2015-02-23,We Rise
0.579,0.707,6,-6.947,1,0.0608,0.0346,0.000591,0.423,0.309,92.031,audio_features,6KBOBK0FQ5Ualqvg4IBAFc,spotify:track:6KBOBK0FQ5Ualqvg4IBAFc,https://api.spotify.com/v1/tracks/6KBOBK0FQ5Ualqvg4IBAFc,https://api.spotify.com/v1/audio-analysis/6KBOBK0FQ5Ualqvg4IBAFc,246464,4,smle,48,It'll Be Okay (feat. Helen Tess),2015-09-08,Reasons To
0.598,0.518,2,-7.078,1,0.041,0.229,0.00115,0.103,0.216,86.985,audio_features,0G5Yp0QjhvItbFLnWj77PM,spotify:track:0G5Yp0QjhvItbFLnWj77PM,https://api.spotify.com/v1/tracks/0G5Yp0QjhvItbFLnWj77PM,https://api.spotify.com/v1/audio-analysis/0G5Yp0QjhvItbFLnWj77PM,204138,4,Ark Patrol,41,Primo,2015-11-20,Primo
0.561,0.942,4,-3.384,0,0.266,0.0516,4.95e-06,0.372,0.55,90.974,audio_features,4YquSHfespouUSHEG6ipH7,spotify:track:4YquSHfespouUSHEG6ipH7,https://api.spotify.com/v1/tracks/4YquSHfespouUSHEG6ipH7,https://api.spotify.com/v1/audio-analysis/4YquSHfespouUSHEG6ipH7,260065,4,MYRNE,0,Confessions (feat. Cozi Zuehlsdorff),2017-09-18,Confessions (feat. Cozi Zuehlsdorff)
0.624,0.638,7,-8.075,0,0.0482,0.246,0.2,0.0939,0.238,160.001,audio_features,6PMXCAKSAH7GAZkmUwQ5hB,spotify:track:6PMXCAKSAH7GAZkmUwQ5hB,https://api.spotify.com/v1/tracks/6PMXCAKSAH7GAZkmUwQ5hB,https://api.spotify.com/v1/audio-analysis/6PMXCAKSAH7GAZkmUwQ5hB,223500,4,DROELOE,0,In Time (feat. Belle Doron),2017-01-11,In Time (feat. Belle Doron)
0.574,0.576,1,-8.267,1,0.0446,0.0579,0.00147,0.208,0.287,145.094,audio_features,3mof6Z6vz6gonsuIEQXank,spotify:track:3mof6Z6vz6gonsuIEQXank,https://api.spotify.com/v1/tracks/3mof6Z6vz6gonsuIEQXank,https://api.spotify.com/v1/audio-analysis/3mof6Z6vz6gonsuIEQXank,254897,4,Just A Gent,56,Limelight (NGHTMRE Remix),2015-10-12,Limelight (NGHTMRE Remix)
